,BA.2-1,BA.2-2,BA.2-3,XBB.2-1,XBB.2-2,XBB.2-3,Alpha-1,Alpha-2,Beta-1,Beta-2,Beta-3,Delta-1,Delta-2,Delta-3,BA.1-1,BA.1-2,BA.1-3,BA.2-12-1,BA.2-12-2,BA.2-12-3,Wildtype-1,Wildtype-2,Wildtype-3,BA.5-1,BA.5-2,BA.5-3
BF.7,146.74,118.41,124.73,*,*,*,*,*,*,*,*,*,*,*,84.13,<80,<80,*,*,*,<40,<40,<40,1647.68,903.16,3366.47
BN.1.3.1,119.1,<54,<54,*,*,*,*,*,*,*,*,*,*,*,110.94,<54,<54,*,*,*,<40,<40,36.65,124.71,<54,83.58
BQ.1.18,<160,<160,<160,*,*,*,*,*,*,*,*,*,*,*,<80,<80,<80,*,*,*,<40,<40,<40,1407.34,628.91,3539.07
EG.5.1,<40,42.01,58.07,288.45,553.94,432.03,*,*,*,*,*,*,*,*,170.28,<40,<40,*,*,*,*,*,*,284.31,127.03,191.47
JN.1,74.44,<40,<40,129.25,260.74,242.01,*,*,*,*,*,*,*,*,77.72,<40,81.45,*,*,*,*,*,*,153.64,66.88,<40
Alpha,81.4,162.57,171.62,*,*,*,3795,5141.54,601.6,1353.24,968.83,5120,1924.14,1622.41,<40,164.89,163.6,171.93,97.49,213.96,1904.11,631.29,2386,*,*,*
BA.1,402.62,259.91,549.12,*,*,*,<160,405.82,<160,<160,193.46,422.82,422.82,277.32,1654.9,1658.02,1217.46,1822.46,775.17,806.31,<160,<160,202.45,<160,<160,<160
BA.2-12,1407.05,1524.07,1729.68,*,*,*,<160,542.95,232.39,183.5,272.15,959.2,528.57,1043.33,326.59,164.59,200.04,3278.21,4818.17,1299.74,320,<160,275.36,*,*,*
BA.2,1855.69,2180.47,1666.72,*,*,*,<160,640,296.38,<160,251.05,702.22,435,711.89,325.46,225.11,220.56,5113.91,5330.82,1287.85,512.15,<160,246.5,<160,<160,190.03
BA.4,233.96,190.77,366.16,*,*,*,44.62,215.89,238.22,67.78,78.59,533.97,193.77,364.2,187.79,<160,<160,446.83,3156.46,<160,226.61,<20,66.45,*,*,*
BA.5,188.53,198.87,214.58,219.94,212.78,159.84,46.78,302.49,190.45,43.74,108.21,558.17,160.75,327.05,258.12,<160,<160,573.32,4027.1,<160,327.89,<20,60.13,1104.83,608,2168.32
Beta,<80,238.91,282.05,*,*,*,530.07,1427.84,2237.52,1492.88,1824.34,2304.76,742.18,1032.52,<20,160.28,124.64,437.18,156.13,336.45,1334.84,217.45,1457.76,*,*,*
Delta,22.1,<80,<80,*,*,*,383.2,872.03,227.15,<160,190.95,4819.28,3570.23,5120,<20,82.71,55.2,67.59,<40,40.2,1316.81,502.85,1165.18,*,*,*
Mu,<80,322.59,114.34,*,*,*,753.5,1838.21,779.6,546.07,781.76,1771.11,431.69,860.77,<80,86.95,<80,444.51,229.97,561.78,1213.59,63.97,498.23,*,*,*
Wildtype,<160,<160,<160,<80,<80,<80,889.26,1544.79,402.48,415.96,516.13,1819.79,877.49,1202.49,<160,<160,<160,<160,<160,<160,1472.22,666.78,1503.46,<40,<40,<40
XBB.2,70.26,<107,155.4,1765.51,1898.36,885.62,*,*,*,*,*,*,*,*,189.3,<54,<54,*,*,*,<32,<32,<32,342.05,221.84,685.13
